number,link,Message,Subject Line,characters_count,and_or,blank_line,capital_start,end_dot,imperative_start,wrap_to_72,verb_obj_conn,changed_files_count,changes_methods_count,files_to_body_ratio,methods_to_body_ratio,methods_long,methods_complexity,methods_parameters,added_lines,removed_lines,label,not_sure,
384,https://github.com/github/VisualStudio/commit/7253192b36a010042f44df7015f748ae96cfa7a1,Set the width and height. We can fix it up later.,Set the width and height. We can fix it up later.,49,0,1,1,0,1,1,1,1,0,0,-1,-1,-1,-1,5,2,good,,
385,https://github.com/github/VisualStudio/commit/5eee49126e7285d07566bed3fe0af0b4cbe9ad97,"Remove the cancel command

No need for this.",Remove the cancel command,25,1,1,1,1,1,1,1,4,2,0,0,1,0.67,0.67,2,13,good,,
386,https://github.com/github/VisualStudio/commit/9a1488f98fb3c0817a280c7ef1a19f4ca7acde03,Fix up the login button bindings and positioning,Fix up the login button bindings and positioning,48,0,1,1,1,1,1,1,4,2,0,0,-1,1,1,14,5,good,,
387,https://github.com/github/VisualStudio/commit/04d3265964f6f98205559533074991496bef87bc,"Fix up the sign up link section

And actually bind the sign up link so it works.",Fix up the sign up link section,31,1,1,1,1,1,1,1,5,3,0,0,-1,1,1,27,12,good,,
388,https://github.com/github/VisualStudio/commit/5ff0839c8971062f3746abb7e49a4be7076a7812,Bind text boxes enablement,Bind text boxes enablement,26,1,1,1,1,1,1,1,2,1,0,0,-1,1,1,3,3,good,,
389,https://github.com/github/VisualStudio/commit/75f6ed19e820413d0ee65ed89542ecd5cc58d83c,Move github.com and enterprise tabs to the center,Move github.com and enterprise tabs to the center,49,0,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,1,1,good,,
390,https://github.com/github/VisualStudio/commit/0c35feda6ec85a7361b79c1bebcfa932c26820f6,"Make login label persistent

We'll always show it and not make it contextual.",Make login label persistent,27,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,1,26,good,,
391,https://github.com/github/VisualStudio/commit/8b86ab16ed23aaecf772eb922f00b696ed5789bb,Implement ForgotPassword command properly,Implement ForgotPassword command properly,41,1,1,1,1,1,1,1,4,2,0,0,-1,1,1,18,6,good,,
392,https://github.com/github/VisualStudio/commit/5b49c8c8f4910a955959e58233bc2fba8d170216,Hook up the Forgot Password button,Hook up the Forgot Password button,34,1,1,1,1,1,1,1,2,2,0,0,1,1,1,23,5,good,,
393,https://github.com/github/VisualStudio/commit/be98171907af588a62aff6afa85a6c5509c8bc14,Changes to reference Dev14 assemblies.  Required to build on a machine that only has Dev14 installed.,Changes to reference Dev14 assemblies.  Required to build on a machine that only has Dev14 installed.,101,1,1,1,0,0,0,1,11,0,0,-1,-1,-1,-1,55,25,bad,,
394,https://github.com/github/VisualStudio/commit/5161701ca386c42dc4d40f525825fbd75b7fb582,Reference 14.0.0.0 versions explicitly instead of referencing the 12.0.0.0 versions explicitly and adding SSpecificVersion=False,Reference 14.0.0.0 versions explicitly instead of referencing the 12.0.0.0 versions explicitly and adding SSpecificVersion=False,128,0,1,1,1,1,0,1,6,0,0,-1,-1,-1,-1,17,48,bad,,
395,https://github.com/github/VisualStudio/commit/76e560fa4011d15e8b678eda6258574ea3ffc24b,Update manifest to target Dev14 instead of Dev12,Update manifest to target Dev14 instead of Dev12,48,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,23,23,good,,
396,https://github.com/github/VisualStudio/commit/9cc5bc8ec0a089083966af0d9c389d2134368e66,"Add GitHubTabControl to GitHub.UI.Reactive

I'm gunna need this.",Add GitHubTabControl to GitHub.UI.Reactive,42,1,1,1,1,1,1,1,5,0,0,-1,0.65,1,1,312,0,neutral,,
397,https://github.com/github/VisualStudio/commit/1116d03037e04358e52fdf3ce6a480e50166042b,Add ErrorMessageDisplay,Add ErrorMessageDisplay,23,1,1,1,1,1,1,1,2,0,0,-1,-1,-1,-1,40,0,good,,
398,https://github.com/github/VisualStudio/commit/007538746fdb0d18ca1138001ed072320f88a1c3,Add new validators to ReactivePropertyValidators,Add new validators to ReactivePropertyValidators,48,1,1,1,1,1,1,1,1,14,0,0,-1,1,1,80,29,neutral,,
399,https://github.com/github/VisualStudio/commit/8d8185b18142fc98297edce89fe55988329fdf82,fixup! Add GitHubTabControl,fixup! Add GitHubTabControl,27,1,1,0,1,0,1,1,3,0,0,-1,-1,-1,-1,5,2,neutral,,
400,https://github.com/github/VisualStudio/commit/4683e7d813479ff67cc2ed23bc829b202d9b298f,Move controls out of assets folder,Move controls out of assets folder,34,1,1,1,1,1,1,1,3,0,0,-1,-1,-1,-1,2,2,good,,
401,https://github.com/jtablesaw/tablesaw/commit/e77873b974d1f66f4e3a2f219477ae41f1b91076,first approximate cleanup of category column,first approximate cleanup of category column,44,1,1,0,1,0,1,0,13,46,0,0,1,1,1,260,93,bad,,
402,https://github.com/jtablesaw/tablesaw/commit/bf03d70873cafa58ea75d9c5a9c1af413eab65d8,"removed println() from SnappyCompressionBenchmark
git staut
git status",removed println() from SnappyCompressionBenchmark,49,1,0,0,1,0,1,0,3,1,0,0,1,-1,-1,4,4,bad,,
403,https://github.com/jtablesaw/tablesaw/commit/5ca7c84a9309207a2e38eac37f24f902aa11739e,moved utilities and removed a println(),moved utilities and removed a println(),39,0,1,0,1,0,1,1,3,1,0,0,-1,1,1,4,4,good,,
404,https://github.com/jtablesaw/tablesaw/commit/281291678a44ad2aea2fcebc31d06a02e9a77d1f,moved utilities and removed a println(),moved utilities and removed a println(),39,0,1,0,1,0,1,1,3,1,0,0,1,-1,-1,4,4,good,,
405,https://github.com/jtablesaw/tablesaw/commit/59f41896ea85b4b262dd684c494c445574cc1290,mostly work on boolean columns,mostly work on boolean columns,30,1,1,0,1,0,1,0,8,26,0,0,0.47,1,1,152,39,bad,,
406,https://github.com/jtablesaw/tablesaw/commit/d02393038569634aba3aaf687f5e952f5ddd3eee,io for boolean columns,io for boolean columns,22,1,1,0,1,0,1,0,2,3,0,0,0.61,0.78,0.78,18,3,bad,,
407,https://github.com/jtablesaw/tablesaw/commit/e5731cdad65f541be968f6ac45391f269583c8d2,"enhancements to LocalDateColumn, and extension of the Column api","enhancements to LocalDateColumn, and extension of the Column api",64,0,1,0,1,0,1,0,9,20,0,0.1,0.43,1,0.43,103,18,bad,,
408,https://github.com/jtablesaw/tablesaw/commit/524991190f97f8ae30a5f33c1e5800bd6c491c33,"enhancements to StorageManager to support new column types, and supporting changes in the columns themselves","enhancements to StorageManager to support new column types, and supporting changes in the columns themselves",108,0,1,0,1,0,0,1,5,24,0,0,-1,1,1,92,35,bad,,
409,https://github.com/jtablesaw/tablesaw/commit/47fc1658eededb44cfe2479564b71d9887c8313a,"enhancements to storageManager, CsvReader, and Date/Time Columns to extend io functionality","enhancements to storageManager, CsvReader, and Date/Time Columns to extend io functionality",91,0,1,0,1,0,0,1,5,7,0,0,0.83,0.83,0.83,103,9,bad,,
410,https://github.com/jtablesaw/tablesaw/commit/92c9ac3b66d028b876752475161cd69ab2b86287,"new test, new test data","new test, new test data",23,1,1,0,1,0,1,0,4,0,0,-1,1,1,1,3354,0,bad,1,
411,https://github.com/jtablesaw/tablesaw/commit/f4f5a8ffa1c5d43e82dc0d23fb06c9b30c2b732d,added basic functionality to table,added basic functionality to table,34,1,1,0,1,0,1,1,5,8,0,0,0.45,0.94,0.94,81,7,neutral,,
412,https://github.com/jtablesaw/tablesaw/commit/f146a8d94a42e88a44ae1e2a57e7b117f7c21537,"More io test cases, and supporting changes in tables and columns","More io test cases, and supporting changes in tables and columns",64,0,1,1,1,0,1,1,15,30,0,0,0.98,1,0.98,319,16,bad,,
413,https://github.com/jtablesaw/tablesaw/commit/effa7c6b73c587221069aca92d6ee082f110233c,"more work on csv reading, and related work on time representations, parsing, etc.","more work on csv reading, and related work on time representations, parsing, etc.",81,0,1,0,0,0,0,0,12,26,0,0,0.79,0.92,0.99,352,51,bad,,
414,https://github.com/jtablesaw/tablesaw/commit/a4a345959860768a7cb323f792a37e72b59183a5,"sorting implemented, but needs more testing","sorting implemented, but needs more testing",43,1,1,0,1,0,1,1,14,41,0,0,0.8,0.74,0.88,448,18,bad,,
415,https://github.com/jtablesaw/tablesaw/commit/93250f4a7684a793ce99980dfa83e86a0f333239,initial implementation of fluent api,initial implementation of fluent api,36,1,1,0,1,1,1,0,24,11,0,0,1,1,1,325,93,bad,,
416,https://github.com/jtablesaw/tablesaw/commit/649283e714b190d9f1ebdbecabc9afa04c9542de,extensions to equality testing,extensions to equality testing,30,1,1,0,1,0,1,0,4,6,0,0,0.63,1,1,91,12,bad,,
417,https://github.com/jtablesaw/tablesaw/commit/269269f831c322dc525b51162a5de554fc563f0d,extensions to equality testing,extensions to equality testing,30,1,1,0,1,0,1,0,2,1,0,0,1,1,1,42,1,bad,,
418,https://github.com/jtablesaw/tablesaw/commit/d916b6b70d2e7c9c3ef0956616521edfae00784d,extensions to equality testing,extensions to equality testing,30,1,1,0,1,0,1,0,2,0,0,-1,-1,-1,-1,0,3,bad,,
419,https://github.com/jtablesaw/tablesaw/commit/21b091ee09a657d769d907c0abc9c32ee9a99058,reformatting code,reformatting code,17,1,1,0,1,0,1,1,31,66,0,0,-1,-1,-1,226,220,bad,,
420,https://github.com/jtablesaw/tablesaw/commit/913c55659c6bd60d3b3197012af0931077395512,renamed class,renamed class,13,1,1,0,1,0,1,0,3,2,0,0,-1,-1,-1,6,17,bad,,
421,https://github.com/jtablesaw/tablesaw/commit/5aa5bd2bd414a91d40db0e189a35365273d14ba4,extensions to equality testing,extensions to equality testing,30,1,1,0,1,0,1,0,2,0,0,-1,1,1,1,46,0,bad,,
422,https://github.com/jtablesaw/tablesaw/commit/e5e6fd3192d824047b70fe82f92716e23c8f5db2,extensions to row selection,extensions to row selection,27,1,1,0,1,0,1,0,6,11,0,0,1,1,1,48,7,bad,,
423,https://github.com/jtablesaw/tablesaw/commit/da82eb6fff2a6d387d93f4963980b5b5d9ce1209,extensions to row selection,extensions to row selection,27,1,1,0,1,0,1,0,2,1,0,0,1,1,1,75,0,bad,,
424,https://github.com/jtablesaw/tablesaw/commit/49a552a18007a7835bd8beb5e9327d5dec8ef4ee,extensions to row selection,extensions to row selection,27,1,1,0,1,0,1,0,9,8,0,0,1,1,1,196,2,bad,,
425,https://github.com/jtablesaw/tablesaw/commit/0c9e8b781e1d55b2205be8db8390e0841bdf7b6b,"implementation of basic functionality for 'Getting Started' example, partial","implementation of basic functionality for 'Getting Started' example, partial",76,1,1,0,1,0,0,1,5,16,0,0,0.3,1,0.66,210,15,bad,,
426,https://github.com/jtablesaw/tablesaw/commit/b426f74e0e81b0c9af6ec4b3c4d3729682c15e04,implemented basic BooleanMapUtils,implemented basic BooleanMapUtils,33,1,1,0,1,0,1,1,3,2,0,0,0.12,1,1,69,3,neutral,,
427,https://github.com/jtablesaw/tablesaw/commit/ad5941e752307e52b9749ec3b9fa75d59ff743d9,"added readme, and made the most basic example code in it work","added readme, and made the most basic example code in it work",61,0,1,0,1,0,1,1,6,14,0,0,1,1,1,238,73,bad,,
428,https://github.com/jtablesaw/tablesaw/commit/bf655a7bb05755a7e98ba135783748a3b9e865bd,"added, integrated StringMapUtils","added, integrated StringMapUtils",32,1,1,0,1,0,1,1,4,2,0,0,1,1,1,207,1,bad,,
429,https://github.com/jtablesaw/tablesaw/commit/bb37299f475f3726ad4aaa7535753a5d1dc6412a,"added, integrated StringMapUtils","added, integrated StringMapUtils",32,1,1,0,1,0,1,1,1,0,0,-1,-1,-1,-1,2,1,good,,
430,https://github.com/jtablesaw/tablesaw/commit/2798ff7cf1cb7809043a441dda9ede18db68990b,implementing README.md example functionality,implementing README.md example functionality,44,1,1,0,1,0,1,1,14,28,0.07,0,0.79,1,1,376,41,bad,,
431,https://github.com/jtablesaw/tablesaw/commit/1d67187658fe004d12f12be22982305d08af436d,parsing smalltalk variant for interactive language,parsing smalltalk variant for interactive language,50,1,1,0,1,0,1,1,75,2,0,0,0.39,1,0.77,9986,2,bad,,
432,https://github.com/jtablesaw/tablesaw/commit/f7a29433fe8a595a568a72814bce3289d89d12a2,Initial UI work with JavaFX,Initial UI work with JavaFX,27,1,1,1,1,1,1,0,70,2,0,0,0.35,0.88,1,761,115,bad,,
433,https://github.com/jtablesaw/tablesaw/commit/d3feb95de756cc27fe44445885feb740fc2702ef,"made MainMenu it's own class, and removed unused file","made MainMenu it's own class, and removed unused file",53,0,1,0,1,0,1,1,3,2,0,0,1,-1,-1,84,73,neutral,,
434,https://github.com/jtablesaw/tablesaw/commit/2b8652430412a2a1f6d3529795b0158b2dda2ff6,removed unneeded code,removed unneeded code,21,1,1,0,1,0,1,1,1,1,0,0,-1,-1,-1,0,4,good,,
435,https://github.com/jtablesaw/tablesaw/commit/0ccf92c480f6ee31e657b3602af9eacf7eedae46,Fixed bug in dialog closing logic,Fixed bug in dialog closing logic,33,1,1,1,1,0,1,1,2,3,0,0,1,-1,-1,47,56,good,,
436,https://github.com/jtablesaw/tablesaw/commit/75ce83fb34495fb5f74949019ebff51d919a5de7,Fixed bug in dialog closing logic,Fixed bug in dialog closing logic,33,1,1,1,1,0,1,1,4,7,0,0,-1,1,1,35,40,neutral,,
437,https://github.com/jtablesaw/tablesaw/commit/35eef38996f14633f1381b629f2232db058a5836,cleanup forms,cleanup forms,13,1,1,0,1,1,1,1,2,2,0,0,-1,1,1,11,6,good,,
438,https://github.com/jtablesaw/tablesaw/commit/64fa4332b6443069000e1a4983e861325930d9ed,Added event framework for handling application changes,Added event framework for handling application changes,54,1,1,1,1,0,1,1,14,6,0,0,0.98,1,1,243,4,neutral,,
439,https://github.com/jtablesaw/tablesaw/commit/4c695629058ace8bfc8f838a904601b285b4c49b,fixed broken notification test,fixed broken notification test,30,1,1,0,1,0,1,1,2,3,0,0,1,1,1,12,2,good,,
440,https://github.com/jtablesaw/tablesaw/commit/e56bc2a9ba5600bc8aafdffd41bd98dc3295167e,"Additional UI work, including partially working drag & drop on table view","Additional UI work, including partially working drag & drop on table view",73,1,1,1,1,0,0,0,13,11,0,0,0.15,1,0.5,352,31,bad,,
441,https://github.com/jtablesaw/tablesaw/commit/14f9cad562258eba97593436480ea38d76f8b081,"added command processor framework, with undo, redo","added command processor framework, with undo, redo",50,1,1,0,1,0,1,1,4,0,0,-1,1,1,1,155,0,neutral,,
442,https://github.com/jtablesaw/tablesaw/commit/b5963987e7672b92e94798336d8ec41dad5c00db,improvements towards sorting without comparitors and their auto-boxing,improvements towards sorting without comparitors and their auto-boxing,70,0,1,0,1,0,1,0,5,2,0,0,1,1,1,99,5,bad,,
443,https://github.com/jtablesaw/tablesaw/commit/a86ea19dc5fe719aea07944a9579605c0e68e4e5,tests for command processor framework for the UI,tests for command processor framework for the UI,48,1,1,0,1,0,1,0,1,0,0,-1,-1,-1,-1,0,2,bad,,
444,https://github.com/jtablesaw/tablesaw/commit/c4f3420b432a1ed2f2566da0553810806ff7f002,"a fledgling attempt to do UI skinning (and runtime, user-directed changes in chart display) without hacking CSS strings","a fledgling attempt to do UI skinning (and runtime, user-directed changes in chart display) without hacking CSS strings",119,1,1,0,1,0,0,1,1,0,0,-1,1,1,1,25,0,bad,,
445,https://github.com/jtablesaw/tablesaw/commit/6950b7221e0bd9d6f0cad61b664dcd1a8acb16ed,misc. cleanup (hangs head in shame),misc. cleanup (hangs head in shame),35,1,1,0,1,0,1,1,23,28,0,0.04,0.65,0.88,0.77,634,36,bad,,
446,https://github.com/jtablesaw/tablesaw/commit/11213324b9be4e870591715cd284b2ef3aacefc6,More cleanup/rationalization of the Relation hierarchy,More cleanup/rationalization of the Relation hierarchy,54,1,1,1,1,0,1,0,7,26,0,0,0.78,1,1,96,105,bad,,
447,https://github.com/jtablesaw/tablesaw/commit/30ed6d23e238b4d38c9c4eb70ae3c37de9955c7c,More cleanup/rationalization of the Relation hierarchy,More cleanup/rationalization of the Relation hierarchy,54,1,1,1,1,0,1,0,2,24,0,0,1,1,1,92,89,bad,,
448,https://github.com/jtablesaw/tablesaw/commit/5ed3cf3a70adc774b2f4d5a8ba041439995a632c,test implementation of mapping logic,test implementation of mapping logic,36,1,1,0,1,1,1,0,4,2,0,0,1,0.65,1,64,31,bad,,
449,https://github.com/jtablesaw/tablesaw/commit/e9cb8993962e35b2e7322afee0e3178ffc2c0ef9,Partial port of splitter logic from Outlier,Partial port of splitter logic from Outlier,43,1,1,1,1,0,1,0,7,7,0,0,0.58,1,0.58,163,23,bad,,
450,https://github.com/jtablesaw/tablesaw/commit/0afa277fb1ed661c9d64fda6dd4e9dac21b4cf55,ported GenericSplitter from Outlier,ported GenericSplitter from Outlier,35,1,1,0,1,0,1,1,1,0,0,-1,1,1,1,45,0,good,,
451,https://github.com/jtablesaw/tablesaw/commit/48435f1290cd618ce882cb65fb2cec570a7c1ed6,initial work porting reduction functions,initial work porting reduction functions,40,1,1,0,1,1,1,0,7,3,0,0,1,0.76,1,72,6,bad,,
452,https://github.com/jtablesaw/tablesaw/commit/21970bb8c02ab42a6403d69181b9d518ae12bb84,"improving date and date column functionality, mostly","improving date and date column functionality, mostly",52,0,1,0,1,0,1,1,25,52,0,0,0.76,0.93,0.95,934,139,bad,,
453,https://github.com/jtablesaw/tablesaw/commit/6762630bfd8b8190942458da85e7bc8531a6c35a,more enhancments to localDateColumn functionality,more enhancments to localDateColumn functionality,49,1,1,0,1,0,1,0,3,4,0,0,1,1,1,11,10,bad,,
454,https://github.com/jtablesaw/tablesaw/commit/9e0935ae015b79b51bb833b3384d35ec1ac70547,more enhancments to localDateColumn functionality,more enhancments to localDateColumn functionality,49,1,1,0,1,0,1,0,1,22,0,0,1,0.97,1,63,49,bad,,
455,https://github.com/jtablesaw/tablesaw/commit/08dec72f1c227cdb73d86457a74baad47d3e2a52,added timing to test,added timing to test,20,1,1,0,1,0,1,1,1,1,0,0,-1,1,1,7,2,good,,
456,https://github.com/jtablesaw/tablesaw/commit/b80db10f320ba817a166291c342766a350aea8aa,added support for additional map operations,added support for additional map operations,43,1,1,0,1,0,1,1,3,22,0,0,0.89,0.8,1,270,13,neutral,,
457,https://github.com/jtablesaw/tablesaw/commit/c71737579fef1893eaa942fa910655e9a8335698,Added in-quarter-n filters to LocalDate,Added in-quarter-n filters to LocalDate,39,1,1,1,1,0,1,1,33,10,0,0,1,1,1,855,2,bad,,
458,https://github.com/jtablesaw/tablesaw/commit/f1bddd6bad848819c564cfd1d9234625f99819ff,date filter functions added,date filter functions added,27,1,1,0,1,1,1,0,55,57,0,0,1,1,1,1020,676,bad,,
459,https://github.com/jtablesaw/tablesaw/commit/c1be47af1163e981fad620ba9058f734e8cac5f9,added date filtering to datetime column,added date filtering to datetime column,39,1,1,0,1,0,1,1,1,30,0,0,1,1,1,141,0,good,,
460,https://github.com/jtablesaw/tablesaw/commit/cfa74fc13c35ae29edab05092d8aa5a864be2c3f,cleaned up parameter types and names,cleaned up parameter types and names,36,0,1,0,1,0,1,1,1,66,0,0,-1,-1,-1,65,67,bad,,
461,https://github.com/jtablesaw/tablesaw/commit/ca7b1e36baea74e3ebaa61e6a5668d0f004c55ce,added filters to time and datetime,added filters to time and datetime,34,0,1,0,1,0,1,1,2,8,0,0,1,1,1,51,0,neutral,,
462,https://github.com/jtablesaw/tablesaw/commit/7654f530e2ff417249fb70b0fc171b4aa4b0f165,added filters to category columns,added filters to category columns,33,1,1,0,1,0,1,1,1,14,0,0,1,1,1,201,0,good,,
463,https://github.com/jtablesaw/tablesaw/commit/9407ee470fec5ab0bf90d0c4b5dfe00edbd7fb01,deleted unused class,deleted unused class,20,1,1,0,1,0,1,1,1,0,0,-1,-1,-1,-1,0,16,good,,
464,https://github.com/jtablesaw/tablesaw/commit/9ef3f4235d55eed102a418fbb5c37689da84cf19,more work on string filters and map functions,more work on string filters and map functions,45,0,1,0,1,0,1,0,3,14,0,0,-1,-1,-1,220,200,bad,,
465,https://github.com/jtablesaw/tablesaw/commit/5af2d0e83112b0d86321a7bf71153f166094fdcb,added int column filters,added int column filters,24,1,1,0,1,0,1,1,1,6,0,0,1,1,1,84,0,good,,
466,https://github.com/jtablesaw/tablesaw/commit/393558cee630bfe7adb0b4c083ee75747e5e3dbc,AGPL license added,AGPL license added,18,1,1,1,1,0,1,0,1,0,0,-1,-1,-1,-1,662,0,bad,,
467,https://github.com/jtablesaw/tablesaw/commit/ec6c45464d966cbecdeb7677dc1dd3b7b90c6d02,cleaned up unused imports,cleaned up unused imports,25,1,1,0,1,0,1,1,1,11,0,0,1,1,1,59,17,good,,
468,https://github.com/jtablesaw/tablesaw/commit/7c761cbb1a5fb1f22be0048e168e61e5f8957ca3,updated readme,updated readme,14,1,1,0,1,0,1,1,1,0,0,-1,-1,-1,-1,20,12,neutral,,
469,https://github.com/jtablesaw/tablesaw/commit/0dcf7525bbb931076b036a981e3ed8c769c3be1d,updated readme,updated readme,14,1,1,0,1,0,1,1,1,0,0,-1,-1,-1,-1,2,2,neutral,,
470,https://github.com/jtablesaw/tablesaw/commit/803445b399fd7c1d330e26aca1b9c9ba113ea0aa,updated readme,updated readme,14,1,1,0,1,0,1,1,1,0,0,-1,-1,-1,-1,2,1,neutral,,
471,https://github.com/jtablesaw/tablesaw/commit/754c7805dd05a7db3fe36b5b4ea4fc84016ad531,more work in filters,more work in filters,20,1,1,0,1,0,1,0,8,3,0,0,1,1,1,186,28,bad,,
472,https://github.com/jtablesaw/tablesaw/commit/ebab5a2405a648fd460280fbdff8628b9f86885d,more work on filters,more work on filters,20,1,1,0,1,0,1,0,5,41,0,0,1,0.99,1,160,4,bad,,
473,https://github.com/jtablesaw/tablesaw/commit/f0daf0d4db2114b6fda6f48d2b97e7aaedc8856c,Adding more filter functions,Adding more filter functions,28,1,1,1,1,0,1,1,16,20,0,0,1,1,1,434,4,bad,,
474,https://github.com/jtablesaw/tablesaw/commit/14142bb21719223784ab177c4af7132e19e28faa,Adding more filter functions,Adding more filter functions,28,1,1,1,1,0,1,1,1,0,0,-1,-1,-1,-1,1,1,good,,
475,https://github.com/jtablesaw/tablesaw/commit/ed57c5e7c14c6b438d80480d999ca13e50caac6b,Adding more filter functions,Adding more filter functions,28,1,1,1,1,0,1,1,15,14,0,0,1,1,1,128,41,bad,,
476,https://github.com/jtablesaw/tablesaw/commit/fd6697d44a7d80b73c46fe5d8b91921a2c9f34eb,added equality filter for datetime col,added equality filter for datetime col,38,1,1,0,1,0,1,1,3,1,0,0,1,1,1,40,1,good,,
477,https://github.com/jtablesaw/tablesaw/commit/0ef344ef8ec4ba3d37238acd031da1b9e01fdbb9,removed unneeded nashorn experiment class,removed unneeded nashorn experiment class,41,1,1,0,1,0,1,1,1,0,0,-1,-1,-1,-1,0,31,good,,
478,https://github.com/jtablesaw/tablesaw/commit/8882114dd2338ad5421f082f0f75e19101147a68,added aggregation functions for float,added aggregation functions for float,37,1,1,0,1,0,1,1,2,3,0,0,1,1,1,88,2,good,,
479,https://github.com/jtablesaw/tablesaw/commit/099f11f8aaef37e89a6965f0e89e86968173e481,adding resets to new reduce functions,adding resets to new reduce functions,37,1,1,0,1,0,1,1,1,15,0,0,1,1,1,17,0,good,,
480,https://github.com/jtablesaw/tablesaw/commit/3e28516fa736b8afce065022a5eb23b31f3ef00c,"partial implementation of packedPeriod, and implementation of PeriodColumn","partial implementation of packedPeriod, and implementation of PeriodColumn",74,0,1,0,1,0,0,0,6,3,0,0,0.79,1,0.88,429,1,bad,,
481,https://github.com/jtablesaw/tablesaw/commit/6ad414735c523b0671af24349df1d7fafced8727,partial implementation of packedPeriod,partial implementation of packedPeriod,38,1,1,0,1,0,1,0,3,14,0,0,0.49,0.71,1,131,14,bad,,
482,https://github.com/jtablesaw/tablesaw/commit/dadc70de576694a018345ae060296cc92d4e3469,"added a CsvCombiner utility, that appends all files in a folder into a single csv file. They should all have the same structure.","added a CsvCombiner utility, that appends all files in a folder into a single csv file. They should all have the same structure.",128,1,1,0,0,0,0,1,6,3,0,0,0.63,0.4,0.63,217,73,bad,,
483,https://github.com/jtablesaw/tablesaw/commit/b344fe2a75785fd1c13e293df58a83f97ae22914,Cleanup and comments on CsvCombiner,Cleanup and comments on CsvCombiner,35,0,1,1,1,1,1,0,1,0,0,-1,-1,-1,-1,2,2,neutral,,
484,https://github.com/jtablesaw/tablesaw/commit/aada3b3156eb3e1fe0f85bccbd995ffe86ddcb44,Additional work on column io,Additional work on column io,28,1,1,1,1,0,1,0,2,16,0,0,0.4,0.77,0.52,142,7,bad,,
485,https://github.com/jtablesaw/tablesaw/commit/a120bccd9a48bdd7e1a7bddb6d837d6a54991001,Additional work on column io,Additional work on column io,28,1,1,1,1,0,1,0,2,10,0,0,0.39,0.96,0.87,83,3,bad,,
486,https://github.com/jtablesaw/tablesaw/commit/5ac8287622f45e8032dea7e8b607d2456c09b913,Added todos for improving on disk compression,Added todos for improving on disk compression,45,1,1,1,1,0,1,1,1,0,0,-1,-1,-1,-1,6,0,good,,
487,https://github.com/jtablesaw/tablesaw/commit/6244a430ccb07c1254fd2495c16afaee21f54caf,"refactored columnMetaData and tableMetaData, moving them to storage package","refactored columnMetaData and tableMetaData, moving them to storage package",75,0,1,0,1,0,0,1,6,0,0,-1,-1,-1,-1,11,8,bad,,
488,https://github.com/jtablesaw/tablesaw/commit/5ef46065a8f31ef9e31f8e98aa60c4f784ff9b4d,"removed all language-related code, for smalltalk-like analysis language. May re-add later after core is finished.","removed all language-related code, for smalltalk-like analysis language. May re-add later after core is finished.",113,1,1,0,0,0,0,1,74,0,0,-1,0.61,0,0.23,0,9971,bad,,
489,https://github.com/jtablesaw/tablesaw/commit/09da9b728135070231212a40377fffa62ba98833,updated guava library to version 19,updated guava library to version 19,35,1,1,0,1,0,1,1,1,0,0,-1,-1,-1,-1,1,1,good,,
490,https://github.com/jtablesaw/tablesaw/commit/1d3ec4624acc14573d1b111c563a51565514de00,whitespace fix and readme update,whitespace fix and readme update,32,0,1,0,1,0,1,0,2,0,0,-1,-1,-1,-1,1,4,neutral,,
491,https://github.com/jtablesaw/tablesaw/commit/41a0b98a4c6f710f3a3e8b5830cc2b4092858c3d,bug fixes in column io,bug fixes in column io,22,1,1,0,1,1,1,0,7,45,0,0,0.78,1,1,196,71,bad,,
492,https://github.com/jtablesaw/tablesaw/commit/be1572509c8d3a085726b48dbca02abec3188ca9,readme update,readme update,13,1,1,0,1,0,1,0,1,0,0,-1,-1,-1,-1,1,1,neutral,,
493,https://github.com/jtablesaw/tablesaw/commit/bf968f524696f73494b2493cb2e5fbb4df17f489,Cleaned up test.,Cleaned up test.,16,1,1,1,0,0,1,1,1,6,0,0,-1,-1,-1,7,24,neutral,,
494,https://github.com/jtablesaw/tablesaw/commit/6601f31c1e9b7fa271b39380cdd99224af15c49c,Removed machine learning library until I have time to do proper analysis and design,Removed machine learning library until I have time to do proper analysis and design,83,0,1,1,1,0,0,0,3,1,0,0,0.84,0.36,-1,0,160,bad,,
495,https://github.com/jtablesaw/tablesaw/commit/a80d4fb00c6870cd97f9700a00c962a3d4043fde,"Added summary and uniqueCount methods to several classes, and repaired broken head() method in table and view","Added summary and uniqueCount methods to several classes, and repaired broken head() method in table and view",109,0,1,1,1,0,0,1,12,24,0,0.29,0.4,1,1,189,35,bad,,
496,https://github.com/jtablesaw/tablesaw/commit/375d34742765a4f5035473285049b3e79d1b6ce3,"Updates to minimize autoboxing, not entirely successful yet","Updates to minimize autoboxing, not entirely successful yet",59,1,1,1,1,0,1,1,21,53,0,0,0.65,0.93,0.65,430,136,bad,,
497,https://github.com/jtablesaw/tablesaw/commit/53e5988cf650533850f80ac94e902cb203b3ca59,"continued work on primitive-based sorts (incomplete), and implementation of dummy variable functions for category columns","continued work on primitive-based sorts (incomplete), and implementation of dummy variable functions for category columns",121,0,1,0,1,0,0,0,8,13,0,0,-1,1,1,117,29,bad,,
